_id,tahun,bulan,mode,jarak,ongkir,belanja,total biaya,driver id,driver name,driver gender
57,2019,2,BIKE,"10,07",5000,0,5000,93,Mahesa Tarihoran S.Farm,L
58,2019,2,CAR,"3,52",6000,0,6000,109,Maimunah Pudjiastuti,P
59,2019,2,CAR,"10,09",19200,0,19200,99,Joko Situmorang,L
60,2019,2,FOOD,"6,25",8000,49000,57000,105,Restu Yuniar S.Pt,P
61,2019,2,BIKE,"6,18",3000,0,3000,90,Rusman Situmorang,L
62,2019,2,FOOD,"6,23",8000,86000,94000,75,Atma Dasa Uwais,L
63,2019,2,SHOP,"10,68",15000,42000,57000,91,Margana Pratama,L
64,2019,2,BIKE,"6,97",3500,0,3500,104,Faizah Shania Usamah S.T.,P
65,2019,2,FOOD,"4,67",6000,42000,48000,101,Kartika Winarsih S.Ked,P
66,2019,2,CAR,"5,38",9600,0,9600,107,Gasti Nadia Pratiwi S.Gz,P
67,2019,2,FOOD,"5,5",7000,47500,54500,76,Paiman Wacana S.Kom,L
68,2019,2,CAR,"12,63",25200,0,25200,98,Imam Abyasa Maheswara,L
69,2019,2,BIKE,"6,12",3000,0,3000,85,Jarwadi Nababan,L
70,2019,2,SHOP,"6,12",8000,60500,68500,101,Kartika Winarsih S.Ked,P
71,2019,2,BIKE,"2,95",1000,0,1000,80,Mursita Prasetya,L
72,2019,2,BIKE,"11,66",6000,0,6000,78,Maryadi Natsir,L
73,2019,2,BIKE,"5,9",2500,0,2500,92,Danu Januar,L
74,2019,2,SHOP,"12,24",17000,100000,117000,89,Dirja Mansur,L
75,2019,2,FOOD,"9,64",13000,32500,45500,77,Lukman Ganep Januar M.Ak,L
76,2019,2,BIKE,"10,45",5000,0,5000,93,Mahesa Tarihoran S.Farm,L
77,2019,2,SHOP,"8,46",11000,34500,45500,81,Manah Sirait,L
78,2019,2,CAR,"7,81",14400,0,14400,108,Ana Maimunah Pertiwi S.H.,P
79,2019,2,CAR,"14,26",28800,0,28800,97,Waluyo Setiawan,L
80,2019,2,FOOD,"2,76",3000,81500,84500,104,Faizah Shania Usamah S.T.,P
81,2019,2,FOOD,"8,48",11000,96000,107000,75,Atma Dasa Uwais,L
82,2019,2,CAR,"10,05",19200,0,19200,99,Joko Situmorang,L
83,2019,2,BIKE,"4,18",1500,0,1500,77,Lukman Ganep Januar M.Ak,L
84,2019,2,BIKE,"10,52",5000,0,5000,100,Halima Kani Purnawati,P
85,2019,2,BIKE,"9,51",4500,0,4500,80,Mursita Prasetya,L
86,2019,2,CAR,"5,59",9600,0,9600,96,Bakda Gunawan,L
87,2019,2,BIKE,"6,53",3000,0,3000,88,Jatmiko Waluyo S.Pd,L
88,2019,2,CAR,"5,85",10800,0,10800,98,Imam Abyasa Maheswara,L
89,2019,2,FOOD,"4,93",6000,56000,62000,105,Restu Yuniar S.Pt,P
90,2019,2,FOOD,"2,82",3000,47500,50500,79,Jabal Prasetya S.Psi,L
91,2019,2,SHOP,3,3000,76000,79000,83,Gaiman Hidayat S.Kom,L
92,2019,2,BIKE,"5,3",2500,0,2500,80,Mursita Prasetya,L
93,2019,2,FOOD,"5,95",7000,60500,67500,81,Manah Sirait,L
94,2019,2,CAR,"6,65",12000,0,12000,99,Joko Situmorang,L
95,2019,2,SHOP,"5,68",7000,31000,38000,80,Mursita Prasetya,L
96,2019,2,BIKE,"7,47",3500,0,3500,91,Margana Pratama,L
97,2019,2,FOOD,"7,88",10000,98500,108500,104,Faizah Shania Usamah S.T.,P
98,2019,2,BIKE,"6,69",3000,0,3000,100,Halima Kani Purnawati,P
99,2019,2,BIKE,"5,67",2500,0,2500,78,Maryadi Natsir,L
100,2019,2,BIKE,"5,89",2500,0,2500,75,Atma Dasa Uwais,L
101,2019,2,BIKE,"7,09",3500,0,3500,101,Kartika Winarsih S.Ked,P
102,2019,2,BIKE,"10,54",5000,0,5000,83,Gaiman Hidayat S.Kom,L
103,2019,2,SHOP,"4,99",6000,63000,69000,78,Maryadi Natsir,L
104,2019,2,FOOD,"4,21",5000,60000,65000,90,Rusman Situmorang,L
105,2019,2,BIKE,"7,13",3500,0,3500,94,Harjo Karya Suwarno,L
106,2019,2,FOOD,"11,01",15000,80500,95500,83,Gaiman Hidayat S.Kom,L
107,2019,2,BIKE,"7,21",3500,0,3500,90,Rusman Situmorang,L
108,2019,2,BIKE,"8,23",4000,0,4000,78,Maryadi Natsir,L
109,2019,2,BIKE,8,4000,0,4000,88,Jatmiko Waluyo S.Pd,L
110,2019,2,FOOD,"3,12",3000,62000,65000,83,Gaiman Hidayat S.Kom,L
111,2019,2,BIKE,"7,68",3500,0,3500,82,Latif Marbun,L
112,2019,2,BIKE,"12,21",6000,0,6000,94,Harjo Karya Suwarno,L
113,2019,2,BIKE,"9,55",4500,0,4500,93,Mahesa Tarihoran S.Farm,L
114,2019,2,FOOD,"4,89",6000,84500,90500,76,Paiman Wacana S.Kom,L
115,2019,2,BIKE,"5,23",2500,0,2500,94,Harjo Karya Suwarno,L
116,2019,2,CAR,"12,65",25200,0,25200,99,Joko Situmorang,L
117,2019,2,BIKE,"13,76",7000,0,7000,101,Kartika Winarsih S.Ked,P
118,2019,2,BIKE,"8,35",4000,0,4000,80,Mursita Prasetya,L
119,2019,2,BIKE,"4,55",2000,0,2000,92,Danu Januar,L
120,2019,2,SHOP,"5,77",7000,46500,53500,82,Latif Marbun,L
121,2019,2,FOOD,"4,77",6000,30500,36500,94,Harjo Karya Suwarno,L
122,2019,2,CAR,"3,95",6000,0,6000,97,Waluyo Setiawan,L
123,2019,2,BIKE,"4,63",2000,0,2000,101,Kartika Winarsih S.Ked,P
124,2019,2,BIKE,"11,64",6000,0,6000,79,Jabal Prasetya S.Psi,L
125,2019,2,CAR,"6,66",12000,0,12000,109,Maimunah Pudjiastuti,P
126,2019,2,BIKE,"7,46",3500,0,3500,104,Faizah Shania Usamah S.T.,P
127,2019,2,SHOP,"8,18",11000,78500,89500,79,Jabal Prasetya S.Psi,L
128,2019,2,FOOD,"7,43",10000,72500,82500,87,Artanto Eman Wacana S.I.Kom,L
129,2019,2,BIKE,"15,21",8000,0,8000,80,Mursita Prasetya,L
130,2019,2,SHOP,"6,93",9000,41000,50000,91,Margana Pratama,L
131,2019,2,FOOD,"4,18",5000,26500,31500,83,Gaiman Hidayat S.Kom,L
132,2019,2,SHOP,4,5000,91000,96000,90,Rusman Situmorang,L
133,2019,2,BIKE,"11,96",6000,0,6000,78,Maryadi Natsir,L
134,2019,2,SHOP,"4,32",5000,34000,39000,103,Eka Tira Haryanti,P
135,2019,2,CAR,"10,5",20400,0,20400,98,Imam Abyasa Maheswara,L
136,2019,2,CAR,"6,14",10800,0,10800,109,Maimunah Pudjiastuti,P
137,2019,2,CAR,4,6000,0,6000,109,Maimunah Pudjiastuti,P
138,2019,2,CAR,"4,6",7200,0,7200,109,Maimunah Pudjiastuti,P
139,2019,1,BIKE,"6,82",3000,0,3000,93,Mahesa Tarihoran S.Farm,L
140,2019,1,FOOD,"3,57",4000,81500,85500,86,Daliono Firgantoro,L
141,2019,1,CAR,"7,59",14400,0,14400,97,Waluyo Setiawan,L
142,2019,1,FOOD,"7,33",9000,68000,77000,85,Jarwadi Nababan,L
143,2019,1,FOOD,"5,25",6000,91500,97500,83,Gaiman Hidayat S.Kom,L
144,2019,1,CAR,"5,38",9600,0,9600,99,Joko Situmorang,L
145,2019,1,BIKE,"10,61",5500,0,5500,91,Margana Pratama,L
146,2019,1,FOOD,"5,94",7000,78000,85000,101,Kartika Winarsih S.Ked,P
147,2019,1,FOOD,"6,15",8000,31500,39500,91,Margana Pratama,L
148,2019,1,FOOD,"5,12",6000,92500,98500,94,Harjo Karya Suwarno,L
149,2019,1,FOOD,"4,41",5000,73500,78500,85,Jarwadi Nababan,L
150,2019,1,BIKE,"13,15",6500,0,6500,77,Lukman Ganep Januar M.Ak,L
151,2019,1,BIKE,"13,65",7000,0,7000,77,Lukman Ganep Januar M.Ak,L
152,2019,1,BIKE,"10,3",5000,0,5000,93,Mahesa Tarihoran S.Farm,L
153,2019,1,FOOD,"3,44",4000,66500,70500,103,Eka Tira Haryanti,P
154,2019,1,CAR,"4,77",8400,0,8400,107,Gasti Nadia Pratiwi S.Gz,P
155,2019,1,BIKE,"8,5",4000,0,4000,106,Yunita Laras Pratiwi,P
156,2019,1,BIKE,"8,67",4000,0,4000,102,Intan Nasyiah,P
157,2019,1,BIKE,"7,02",3500,0,3500,100,Halima Kani Purnawati,P
158,2019,1,SHOP,"5,58",7000,55500,62500,81,Manah Sirait,L
159,2019,1,FOOD,"4,48",5000,43500,48500,75,Atma Dasa Uwais,L
160,2019,1,BIKE,"7,95",4000,0,4000,91,Margana Pratama,L
161,2019,1,FOOD,"4,97",6000,99000,105000,84,Lukita Napitupulu,L
162,2019,1,CAR,"7,18",13200,0,13200,99,Joko Situmorang,L
163,2019,1,BIKE,"16,58",8500,0,8500,86,Daliono Firgantoro,L
164,2019,1,BIKE,"7,96",4000,0,4000,104,Faizah Shania Usamah S.T.,P
165,2019,1,FOOD,"6,2",8000,36000,44000,93,Mahesa Tarihoran S.Farm,L
166,2019,1,CAR,"7,78",14400,0,14400,108,Ana Maimunah Pertiwi S.H.,P
167,2019,1,BIKE,"6,12",3000,0,3000,105,Restu Yuniar S.Pt,P
168,2019,1,CAR,"9,15",18000,0,18000,97,Waluyo Setiawan,L
169,2019,1,FOOD,"6,09",8000,59000,67000,104,Faizah Shania Usamah S.T.,P
170,2019,1,BIKE,"7,76",3500,0,3500,88,Jatmiko Waluyo S.Pd,L
171,2019,1,BIKE,"12,19",6000,0,6000,80,Mursita Prasetya,L
172,2019,1,CAR,"6,62",12000,0,12000,109,Maimunah Pudjiastuti,P
173,2019,1,CAR,"4,05",6000,0,6000,109,Maimunah Pudjiastuti,P
174,2019,1,BIKE,"7,26",3500,0,3500,90,Rusman Situmorang,L
175,2019,1,CAR,"12,89",25200,0,25200,97,Waluyo Setiawan,L
176,2019,1,SHOP,"3,6",4000,58500,62500,89,Dirja Mansur,L
177,2019,1,CAR,"9,52",18000,0,18000,99,Joko Situmorang,L
178,2019,1,FOOD,"8,57",11000,51000,62000,88,Jatmiko Waluyo S.Pd,L
179,2019,1,FOOD,"6,76",9000,87000,96000,94,Harjo Karya Suwarno,L
180,2019,1,CAR,"11,32",22800,0,22800,108,Ana Maimunah Pertiwi S.H.,P
181,2019,1,BIKE,7,3500,0,3500,104,Faizah Shania Usamah S.T.,P
182,2019,1,SHOP,"5,28",6000,25500,31500,91,Margana Pratama,L
183,2019,1,BIKE,"7,16",3500,0,3500,78,Maryadi Natsir,L
184,2019,1,FOOD,"2,98",3000,86500,89500,80,Mursita Prasetya,L
185,2019,1,CAR,"13,5",27600,0,27600,97,Waluyo Setiawan,L
186,2019,1,CAR,"5,55",9600,0,9600,108,Ana Maimunah Pertiwi S.H.,P
187,2019,1,BIKE,"10,25",5000,0,5000,92,Danu Januar,L
188,2019,1,CAR,"5,09",8400,0,8400,96,Bakda Gunawan,L
189,2019,1,SHOP,"5,72",7000,39000,46000,89,Dirja Mansur,L
190,2019,1,FOOD,"4,21",5000,62500,67500,88,Jatmiko Waluyo S.Pd,L
191,2019,1,SHOP,"5,73",7000,85500,92500,92,Danu Januar,L
192,2019,1,BIKE,"12,1",6000,0,6000,94,Harjo Karya Suwarno,L
193,2019,1,SHOP,"10,92",15000,70500,85500,89,Dirja Mansur,L
194,2019,1,CAR,"6,74",12000,0,12000,97,Waluyo Setiawan,L
195,2019,1,CAR,"5,84",10800,0,10800,99,Joko Situmorang,L
196,2019,1,FOOD,"6,96",9000,73000,82000,88,Jatmiko Waluyo S.Pd,L
197,2019,1,CAR,"4,35",7200,0,7200,99,Joko Situmorang,L
198,2019,1,BIKE,"9,87",5000,0,5000,89,Dirja Mansur,L
199,2019,1,CAR,"12,64",25200,0,25200,99,Joko Situmorang,L
200,2019,1,SHOP,"6,21",8000,66500,74500,77,Lukman Ganep Januar M.Ak,L
201,2019,1,BIKE,"3,13",1000,0,1000,106,Yunita Laras Pratiwi,P
202,2019,1,CAR,"8,27",15600,0,15600,97,Waluyo Setiawan,L
203,2019,1,BIKE,"10,29",5000,0,5000,93,Mahesa Tarihoran S.Farm,L
204,2019,1,SHOP,"6,16",8000,69000,77000,87,Artanto Eman Wacana S.I.Kom,L
205,2019,1,BIKE,"7,87",4000,0,4000,102,Intan Nasyiah,P
206,2019,1,CAR,"3,04",4800,0,4800,97,Waluyo Setiawan,L
207,2019,1,FOOD,"8,97",12000,89500,101500,87,Artanto Eman Wacana S.I.Kom,L
208,2019,1,FOOD,"6,19",8000,46500,54500,101,Kartika Winarsih S.Ked,P
209,2019,1,CAR,"10,21",20400,0,20400,97,Waluyo Setiawan,L
210,2019,1,SHOP,"7,5",10000,58000,68000,76,Paiman Wacana S.Kom,L
211,2019,1,CAR,"4,88",8400,0,8400,95,Cengkal Marpaung,L
212,2019,1,CAR,"13,8",27600,0,27600,109,Maimunah Pudjiastuti,P
213,2019,1,FOOD,"5,96",7000,99000,106000,100,Halima Kani Purnawati,P
214,2019,1,CAR,"3,15",4800,0,4800,96,Bakda Gunawan,L
215,2019,1,FOOD,"6,12",8000,75500,83500,104,Faizah Shania Usamah S.T.,P
216,2019,1,SHOP,"3,55",4000,99000,103000,106,Yunita Laras Pratiwi,P
217,2019,1,BIKE,"8,13",4000,0,4000,103,Eka Tira Haryanti,P
218,2019,1,CAR,"7,13",13200,0,13200,99,Joko Situmorang,L
219,2019,1,BIKE,"9,59",4500,0,4500,106,Yunita Laras Pratiwi,P
220,2019,1,CAR,"10,46",20400,0,20400,108,Ana Maimunah Pertiwi S.H.,P
221,2019,1,FOOD,"12,94",18000,44000,62000,77,Lukman Ganep Januar M.Ak,L
222,2019,1,CAR,"11,73",22800,0,22800,95,Cengkal Marpaung,L
223,2019,1,FOOD,"3,92",4000,90500,94500,104,Faizah Shania Usamah S.T.,P
224,2019,1,SHOP,"4,59",5000,77000,82000,101,Kartika Winarsih S.Ked,P
225,2019,1,FOOD,"9,61",13000,93500,106500,79,Jabal Prasetya S.Psi,L
226,2019,1,BIKE,"5,43",2500,0,2500,87,Artanto Eman Wacana S.I.Kom,L
227,2019,1,FOOD,"7,19",9000,32500,41500,92,Danu Januar,L
228,2019,1,BIKE,"5,86",2500,0,2500,75,Atma Dasa Uwais,L
229,2019,1,BIKE,"5,79",2500,0,2500,92,Danu Januar,L
230,2019,1,SHOP,"4,43",5000,56500,61500,100,Halima Kani Purnawati,P
231,2019,1,BIKE,"3,33",1500,0,1500,87,Artanto Eman Wacana S.I.Kom,L
232,2019,1,BIKE,"9,18",4500,0,4500,81,Manah Sirait,L
233,2019,1,BIKE,"4,41",2000,0,2000,83,Gaiman Hidayat S.Kom,L
234,2019,1,SHOP,"4,81",6000,29500,35500,105,Restu Yuniar S.Pt,P
235,2019,1,BIKE,"6,65",3000,0,3000,82,Latif Marbun,L
236,2019,1,CAR,"9,96",19200,0,19200,108,Ana Maimunah Pertiwi S.H.,P
237,2019,1,BIKE,"6,42",3000,0,3000,92,Danu Januar,L
238,2019,1,FOOD,"5,41",7000,40000,47000,88,Jatmiko Waluyo S.Pd,L
239,2019,1,BIKE,"8,94",4500,0,4500,79,Jabal Prasetya S.Psi,L
240,2019,1,BIKE,"6,06",3000,0,3000,93,Mahesa Tarihoran S.Farm,L
241,2019,1,FOOD,"7,94",10000,99500,109500,82,Latif Marbun,L
242,2019,1,CAR,"5,43",9600,0,9600,98,Imam Abyasa Maheswara,L
243,2019,1,CAR,"3,74",6000,0,6000,97,Waluyo Setiawan,L
244,2019,1,SHOP,"5,73",7000,49000,56000,93,Mahesa Tarihoran S.Farm,L
245,2019,1,FOOD,"6,49",8000,84500,92500,80,Mursita Prasetya,L
246,2019,1,CAR,"5,55",9600,0,9600,109,Maimunah Pudjiastuti,P
247,2019,1,BIKE,"10,28",5000,0,5000,105,Restu Yuniar S.Pt,P
248,2019,1,BIKE,"2,79",1000,0,1000,91,Margana Pratama,L
249,2019,1,BIKE,"6,33",3000,0,3000,105,Restu Yuniar S.Pt,P
250,2019,1,BIKE,"7,65",3500,0,3500,84,Lukita Napitupulu,L
251,2019,1,BIKE,"10,1",5000,0,5000,86,Daliono Firgantoro,L
252,2019,1,CAR,"13,64",27600,0,27600,99,Joko Situmorang,L
253,2019,1,BIKE,"9,14",4500,0,4500,102,Intan Nasyiah,P
254,2019,1,SHOP,"5,74",7000,61500,68500,100,Halima Kani Purnawati,P
255,2019,1,FOOD,"11,77",16000,49500,65500,100,Halima Kani Purnawati,P
256,2019,1,CAR,"2,6",3600,0,3600,107,Gasti Nadia Pratiwi S.Gz,P
257,2019,1,CAR,8,15600,0,15600,96,Bakda Gunawan,L
258,2019,1,FOOD,"4,88",6000,32500,38500,78,Maryadi Natsir,L
259,2019,1,FOOD,"760,4",1000,75000,76000,75,Atma Dasa Uwais,L
260,2019,1,CAR,"4,43",7200,0,7200,107,Gasti Nadia Pratiwi S.Gz,P
261,2019,1,BIKE,"5,19",2500,0,2500,81,Manah Sirait,L
262,2019,1,BIKE,"12,98",6500,0,6500,101,Kartika Winarsih S.Ked,P
263,2019,1,CAR,"6,83",12000,0,12000,98,Imam Abyasa Maheswara,L
264,2019,1,SHOP,"4,44",5000,54000,59000,85,Jarwadi Nababan,L
265,2019,1,SHOP,"5,57",7000,59000,66000,94,Harjo Karya Suwarno,L
266,2019,1,BIKE,"10,57",5500,0,5500,90,Rusman Situmorang,L
267,2018,12,BIKE,"6,22",3000,0,3000,83,Gaiman Hidayat S.Kom,L
268,2018,12,SHOP,"9,93",13000,95500,108500,76,Paiman Wacana S.Kom,L
269,2018,12,FOOD,"5,25",6000,31000,37000,83,Gaiman Hidayat S.Kom,L
270,2018,12,CAR,"11,46",22800,0,22800,108,Ana Maimunah Pertiwi S.H.,P
271,2018,12,BIKE,"8,15",4000,0,4000,76,Paiman Wacana S.Kom,L
272,2018,12,BIKE,"8,4",4000,0,4000,83,Gaiman Hidayat S.Kom,L
273,2018,12,CAR,"5,5",9600,0,9600,109,Maimunah Pudjiastuti,P
274,2018,12,CAR,"9,87",19200,0,19200,107,Gasti Nadia Pratiwi S.Gz,P
275,2018,12,BIKE,"4,99",2000,0,2000,91,Margana Pratama,L
276,2018,12,BIKE,"7,63",3500,0,3500,85,Jarwadi Nababan,L
277,2018,12,FOOD,"2,17",2000,75500,77500,83,Gaiman Hidayat S.Kom,L
278,2018,12,FOOD,"8,82",12000,27000,39000,83,Gaiman Hidayat S.Kom,L
279,2018,12,CAR,"11,82",22800,0,22800,107,Gasti Nadia Pratiwi S.Gz,P
280,2018,12,SHOP,"4,08",5000,43500,48500,81,Manah Sirait,L
281,2018,12,FOOD,"8,42",11000,54000,65000,103,Eka Tira Haryanti,P
282,2018,12,FOOD,8,11000,93000,104000,102,Intan Nasyiah,P
283,2018,12,CAR,"10,25",20400,0,20400,98,Imam Abyasa Maheswara,L
284,2018,12,FOOD,"6,35",8000,48500,56500,87,Artanto Eman Wacana S.I.Kom,L
285,2018,12,CAR,"12,94",25200,0,25200,95,Cengkal Marpaung,L
286,2018,12,SHOP,"8,9",12000,56500,68500,85,Jarwadi Nababan,L
287,2018,12,SHOP,"5,7",7000,87000,94000,78,Maryadi Natsir,L
288,2018,12,CAR,"8,52",16800,0,16800,108,Ana Maimunah Pertiwi S.H.,P
289,2018,12,BIKE,"6,84",3000,0,3000,100,Halima Kani Purnawati,P
290,2018,12,FOOD,"6,11",8000,33500,41500,79,Jabal Prasetya S.Psi,L
291,2018,12,BIKE,"4,82",2000,0,2000,87,Artanto Eman Wacana S.I.Kom,L
292,2018,12,FOOD,"8,35",11000,45500,56500,81,Manah Sirait,L
293,2018,12,SHOP,"6,44",8000,42500,50500,78,Maryadi Natsir,L
294,2018,12,FOOD,"5,32",6000,40000,46000,104,Faizah Shania Usamah S.T.,P
295,2018,12,CAR,"3,23",4800,0,4800,98,Imam Abyasa Maheswara,L
296,2018,12,FOOD,"7,09",9000,78000,87000,104,Faizah Shania Usamah S.T.,P
297,2018,12,SHOP,"6,05",8000,56000,64000,87,Artanto Eman Wacana S.I.Kom,L
298,2018,12,FOOD,"11,07",15000,25500,40500,75,Atma Dasa Uwais,L
299,2018,12,SHOP,"5,39",7000,53500,60500,80,Mursita Prasetya,L
300,2018,12,FOOD,"7,66",10000,86500,96500,88,Jatmiko Waluyo S.Pd,L
301,2018,12,CAR,"4,75",8400,0,8400,97,Waluyo Setiawan,L
302,2018,12,FOOD,"10,37",14000,44500,58500,93,Mahesa Tarihoran S.Farm,L
303,2018,12,FOOD,"5,3",6000,86000,92000,102,Intan Nasyiah,P
304,2018,12,CAR,"3,96",6000,0,6000,108,Ana Maimunah Pertiwi S.H.,P
305,2018,12,FOOD,"7,93",10000,47000,57000,94,Harjo Karya Suwarno,L
306,2018,12,CAR,"12,45",25200,0,25200,108,Ana Maimunah Pertiwi S.H.,P
307,2018,12,SHOP,"9,61",13000,97000,110000,85,Jarwadi Nababan,L
308,2018,12,FOOD,"5,79",7000,35500,42500,83,Gaiman Hidayat S.Kom,L
309,2018,12,FOOD,"5,05",6000,33000,39000,94,Harjo Karya Suwarno,L
310,2018,12,CAR,"5,74",10800,0,10800,97,Waluyo Setiawan,L
311,2018,12,FOOD,"13,61",19000,82000,101000,89,Dirja Mansur,L
312,2018,12,SHOP,"8,28",11000,55500,66500,105,Restu Yuniar S.Pt,P
313,2018,12,CAR,"5,54",9600,0,9600,98,Imam Abyasa Maheswara,L
314,2018,12,SHOP,"7,79",10000,91500,101500,86,Daliono Firgantoro,L
315,2018,12,SHOP,"5,29",6000,69500,75500,94,Harjo Karya Suwarno,L
316,2018,12,SHOP,"3,66",4000,100000,104000,91,Margana Pratama,L
317,2018,12,SHOP,"6,77",9000,63500,72500,78,Maryadi Natsir,L
318,2018,12,FOOD,"11,33",15000,99000,114000,86,Daliono Firgantoro,L
319,2018,12,CAR,"8,09",15600,0,15600,96,Bakda Gunawan,L
320,2018,12,SHOP,"3,38",4000,96000,100000,101,Kartika Winarsih S.Ked,P
321,2018,12,CAR,"4,32",7200,0,7200,99,Joko Situmorang,L
322,2018,12,CAR,"10,73",21600,0,21600,99,Joko Situmorang,L
323,2018,12,CAR,"9,4",18000,0,18000,96,Bakda Gunawan,L
324,2018,12,FOOD,"6,41",8000,35000,43000,104,Faizah Shania Usamah S.T.,P
325,2018,12,CAR,"4,2",7200,0,7200,109,Maimunah Pudjiastuti,P
326,2018,12,SHOP,"3,5",4000,41000,45000,93,Mahesa Tarihoran S.Farm,L
327,2018,12,SHOP,"11,65",16000,87500,103500,77,Lukman Ganep Januar M.Ak,L
328,2018,12,CAR,"4,79",8400,0,8400,96,Bakda Gunawan,L
329,2018,12,BIKE,"8,04",4000,0,4000,85,Jarwadi Nababan,L
330,2018,12,CAR,"9,89",19200,0,19200,108,Ana Maimunah Pertiwi S.H.,P
331,2018,12,SHOP,"4,44",5000,71000,76000,88,Jatmiko Waluyo S.Pd,L
